"","from","to","strength","direction"
"1","S1","S2",1,0.7985
"2","S1","S3",0.5438,0.86686281721221
"3","S1","S4",0.0542,0.736162361623616
"4","S1","S5",0.9012,0.845650244118953
"5","S1","S6",0.1128,0.791666666666667
"6","S1","G1",0.0296,0.456081081081081
"7","S1","G2",0.2684,0.65946348733234
"8","S1","G3",0.0266,0.537593984962406
"9","S1","G4",0.124,0.873387096774193
"10","S1","G5",0.0852,0.717136150234742
"11","S1","G6",0.2696,0.566023738872404
"12","S1","G7",0.1022,0.735812133072407
"13","S1","G8",0.486,0.423251028806584
"14","S1","G9",0.0372,0.620967741935484
"15","S1","G10",0.163,0.921472392638037
"16","S1","G11",0.0674,0.599406528189911
"17","S2","S1",1,0.2015
"18","S2","S3",0.9564,0.791300710999582
"19","S2","S4",0.7756,0.667741103661681
"20","S2","S5",0.076,0.830263157894737
"21","S2","S6",0.2554,0.821064996084573
"22","S2","G1",0.0256,0.2890625
"23","S2","G2",0.2236,0.302772808586762
"24","S2","G3",0.0502,0.408366533864542
"25","S2","G4",0.401,0.341895261845386
"26","S2","G5",0.0672,0.380952380952381
"27","S2","G6",0.104,0.530769230769231
"28","S2","G7",0.0754,0.320954907161804
"29","S2","G8",0.0876,0.866438356164384
"30","S2","G9",0.1694,0.393152302243211
"31","S2","G10",0.1958,0.401430030643514
"32","S2","G11",0.0944,0.390889830508475
"33","S3","S1",0.5438,0.13313718278779
"34","S3","S2",0.9564,0.208699289000418
"35","S3","S4",0.9762,0.589018643720549
"36","S3","S5",0.2492,0.698635634028893
"37","S3","S6",0.4604,0.807993049522155
"38","S3","G1",0.1156,0.3719723183391
"39","S3","G2",0.077,0.412987012987013
"40","S3","G3",0.0826,0.435835351089588
"41","S3","G4",0.1172,0.502559726962457
"42","S3","G5",0.103,0.352427184466019
"43","S3","G6",0.5042,0.454184847282824
"44","S3","G7",0.038,0.547368421052632
"45","S3","G8",0.0614,0.452768729641694
"46","S3","G9",0.168,0.266666666666667
"47","S3","G10",0.5102,0.666993335946688
"48","S3","G11",0.1002,0.62874251497006
"49","S4","S1",0.0542,0.263837638376384
"50","S4","S2",0.7756,0.332258896338319
"51","S4","S3",0.9762,0.410981356279451
