"","from","to","strength","direction"
"1","S1","S2",1,0.6089
"2","S1","S3",0.5438,0.671938212578154
"3","S1","S4",0.2806,0.489665003563792
"4","S1","S5",0.5332,0.552138034508627
"5","S1","S6",0.0324,0.645061728395062
"6","S1","G1",0.2558,0.553948397185301
"7","S1","G2",0.0334,0.736526946107784
"8","S1","G3",0.0154,0.681818181818182
"9","S1","G4",0.0584,0.816780821917808
"10","S1","G5",0.009,0.633333333333333
"11","S1","G6",0.0112,0.794642857142857
"12","S1","G7",0.0456,0.690789473684211
"13","S1","G8",0.0246,0.528455284552846
"14","S1","G9",0.0464,0.71551724137931
"15","S1","G10",0.1576,0.6751269035533
"16","S1","G11",0.1244,0.889067524115756
"17","S2","S1",1,0.3911
"18","S2","S3",0.9984,0.71875
"19","S2","S4",0.8476,0.670009438414346
"20","S2","S5",0.9458,0.575174455487418
"21","S2","S6",0.0248,0.451612903225806
"22","S2","G1",0.0602,0.782392026578073
"23","S2","G2",0.021,0.738095238095238
"24","S2","G3",0.0822,0.588807785888078
"25","S2","G4",0.0716,0.244413407821229
"26","S2","G5",0.0704,0.602272727272727
"27","S2","G6",0.0208,0.701923076923077
"28","S2","G7",0.0572,0.809440559440559
"29","S2","G8",0.095,0.6
"30","S2","G9",0.047,0.891489361702128
"31","S2","G10",0.1108,0.833935018050541
"32","S2","G11",0.057,0.864912280701754
"33","S3","S1",0.5438,0.328061787421846
"34","S3","S2",0.9984,0.28125
"35","S3","S4",0.8886,0.535449020931803
"36","S3","S5",0.9506,0.416684199452977
"37","S3","S6",0.7188,0.558569838619922
"38","S3","G1",0.0304,0.746710526315789
"39","S3","G2",0.0192,0.744791666666667
"40","S3","G3",0.0694,0.759365994236311
"41","S3","G4",0.0076,0.684210526315789
"42","S3","G5",0.0202,0.386138613861386
"43","S3","G6",0.3558,0.610736368746487
"44","S3","G7",0.041,0.721951219512195
"45","S3","G8",0.1404,0.384615384615385
"46","S3","G9",0.0734,0.776566757493188
"47","S3","G10",0.0568,0.829225352112676
