"","symptoms","Bcent","n","Gender"
"1","G1","Bridge between",-0.783280064107684,"Females"
"2","G1","Bridge between",1.76452887790083,"Males"
"3","G1","Bridge closeness",-0.993559100093607,"Females"
"4","G1","Bridge closeness",1.4018735407536,"Males"
"5","G1","Bridge expect inf",-0.4150301429212,"Females"
"6","G1","Bridge expect inf",1.43043541708558,"Males"
"7","G1","Bridge strength",-0.505074730823569,"Females"
"8","G1","Bridge strength",1.22830005446694,"Males"
"9","G10","Bridge between",-0.32673968388492,"Females"
"10","G10","Bridge between",1.33446449188916,"Males"
"11","G10","Bridge closeness",1.04050540344439,"Females"
"12","G10","Bridge closeness",1.5299278128586,"Males"
"13","G10","Bridge expect inf",0.0311484581136592,"Females"
"14","G10","Bridge expect inf",0.304133605197308,"Males"
"15","G10","Bridge strength",0.70091037154763,"Males"
"16","G10","Bridge strength",0.806828220433967,"Females"
"17","G11","Bridge between",-0.600825245163366,"Males"
"18","G11","Bridge between",2.26032247071075,"Females"
"19","G11","Bridge closeness",0.398906591848787,"Males"
"20","G11","Bridge closeness",2.09244189491255,"Females"
"21","G11","Bridge expect inf",-0.827701309026873,"Males"
"22","G11","Bridge expect inf",1.43999468543897,"Females"
"23","G11","Bridge strength",-0.895204732375707,"Males"
"24","G11","Bridge strength",1.28954495943795,"Females"
"25","G2","Bridge between",-0.600825245163366,"Males"
"26","G2","Bridge between",-0.555009873996302,"Females"
"27","G2","Bridge closeness",-0.92441332333004,"Females"
"28","G2","Bridge closeness",-0.142481935476591,"Males"
"29","G2","Bridge expect inf",-0.674239146126213,"Females"
"30","G2","Bridge expect inf",-0.177052922201599,"Males"
"31","G2","Bridge strength",-0.755843116201997,"Females"
"32","G2","Bridge strength",-0.283348528985605,"Males"
"33","G3","Bridge between",-0.815857438169203,"Males"
"34","G3","Bridge between",-0.783280064107684,"Females"
"35","G3","Bridge closeness",-0.832221647245278,"Males"
"36","G3","Bridge closeness",-0.538269770256646,"Females"
"37","G3","Bridge expect inf",-0.674239146126213,"Females"
"38","G3","Bridge expect inf",-0.5319564976371,"Males"
"39","G3","Bridge strength",-0.755843116201997,"Females"
"40","G3","Bridge strength",-0.617092466006772,"Males"
"41","G4","Bridge between",-0.555009873996302,"Females"
"42","G4","Bridge between",-0.278276955654612,"Males"
"43","G4","Bridge closeness",-0.510229092334492,"Females"
"44","G4","Bridge closeness",0.093306988410091,"Males"
"45","G4","Bridge expect inf",-0.674239146126213,"Females"
"46","G4","Bridge expect inf",1.01585207191304,"Males"
"47","G4","Bridge strength",-0.755843116201997,"Females"
"48","G4","Bridge strength",0.838434503883239,"Males"
"49","G5","Bridge between",-0.815857438169203,"Males"
"50","G5","Bridge between",-0.783280064107684,"Females"
"51","G5","Bridge closeness",-1.30306935571308,"Males"
"52","G5","Bridge closeness",-0.28879836769744,"Females"
"53","G5","Bridge expect inf",-0.827701309026873,"Males"
"54","G5","Bridge expect inf",-0.674239146126213,"Females"
"55","G5","Bridge strength",-0.895204732375707,"Males"
"56","G5","Bridge strength",-0.755843116201997,"Females"
"57","G6","Bridge between",-0.708341341666285,"Males"
"58","G6","Bridge between",0.205890759708306,"Females"
"59","G6","Bridge closeness",0.00503755438097578,"Males"
"60","G6","Bridge closeness",0.118126345219187,"Females"
"61","G6","Bridge expect inf",-0.489472411002502,"Males"
"62","G6","Bridge expect inf",0.222800566647126,"Females"
"63","G6","Bridge strength",-0.577141315002502,"Males"
