S1,S2,S3,S4,S5,S6,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0,0.6047418792080478,0.11878522872423582,0,0.1178649261674462,0,0,0,0,0,0,0,0,0.04302403247951513,0,0,0
0.6047418792080478,0,0.2621400776541056,0.06380068592675245,0.04269193060906874,0.014730493144958898,0,0,0,0,0,0,0,0,0,0,0
0.11878522872423582,0.2621400776541056,0,0.21642833436569964,0.08679884408334786,0.05627087127526332,0,0,0,0,0,0.06045297098460716,0,0,0,-0.030659207291561408,0
0,0.06380068592675245,0.21642833436569964,0,0.37238025336388486,0.20101584351958576,0.017468517978156586,0,0,0,0,0,0,0.035130313804905444,0,0,0
0.1178649261674462,0.04269193060906874,0.08679884408334786,0.37238025336388486,0,0.12964789097468588,0,0,0,0,0,0,0,0,0,0,0
0,0.014730493144958898,0.05627087127526332,0.20101584351958576,0.12964789097468588,0,0,0,0,0,0,0,0.040128926611038236,0,0,0.07819642974091956,0.14248167015831964
0,0,0,0.017468517978156586,0,0,0,0.30317959830253344,0.07825285516819941,0.017768396264987916,0,0.15077186339624868,0.05763738460113508,0,0.06679165402253125,0.0013918364677957132,0
0,0,0,0,0,0,0.30317959830253344,0,0.06579561058014491,0.31113715634739064,0,0,0.09125474322948716,0.09594226246079787,0.1283757018318018,0.058048414057340646,0
0,0,0,0,0,0,0.07825285516819941,0.06579561058014491,0,0.30231082552876803,0,0.025954860252825687,0.04656606712599087,0.10388233953270903,0.161268188668143,0,0.12515467315288634
0,0,0,0,0,0,0.017768396264987916,0.31113715634739064,0.30231082552876803,0,0.1655079952792321,0.16778519524790883,0,0,0.04069839805901902,0.13520397830941489,0
0,0,0,0,0,0,0,0,0,0.1655079952792321,0,0.27400662401754056,0.10906160605361553,0.09344991550301085,0,0.1286547176741603,0
0,0,0.06045297098460716,0,0,0,0.15077186339624868,0,0.025954860252825687,0.16778519524790883,0.27400662401754056,0,0.07728719054289686,0.12906145221069265,0.09249565663567003,0.07435429783042408,0
0,0,0,0,0,0.040128926611038236,0.05763738460113508,0.09125474322948716,0.04656606712599087,0,0.10906160605361553,0.07728719054289686,0,0.05171855300400022,0.24869384915337772,0,0.1312933324065107
0.04302403247951513,0,0,0.035130313804905444,0,0,0,0.09594226246079787,0.10388233953270903,0,0.09344991550301085,0.12906145221069265,0.05171855300400022,0,0.09814000520028443,0,0
0,0,0,0,0,0,0.06679165402253125,0.1283757018318018,0.161268188668143,0.04069839805901902,0,0.09249565663567003,0.24869384915337772,0.09814000520028443,0,0,0.34043179718925987
0,0,-0.030659207291561408,0,0,0.07819642974091956,0.0013918364677957132,0.058048414057340646,0,0.13520397830941489,0.1286547176741603,0.07435429783042408,0,0,0,0,0.41001157611171607
0,0,0,0,0,0.14248167015831964,0,0,0.12515467315288634,0,0,0,0.1312933324065107,0,0.34043179718925987,0.41001157611171607,0
