"","graph","type","node","measure","value","Gender"
"1","graph 1",NA,"G1","Betweenness",-0.941861079407041,"Females"
"2","graph 1",NA,"G1","Betweenness",1.8341396314431,"Males"
"3","graph 1",NA,"G1","Closeness",-0.511139195928147,"Females"
"4","graph 1",NA,"G1","Closeness",1.38327127571545,"Males"
"5","graph 1",NA,"G1","Strength",-1.25112684730913,"Females"
"6","graph 1",NA,"G1","Strength",0.372948510149785,"Males"
"7","graph 1",NA,"G1","ExpectedInfluence",-1.19017291146402,"Females"
"8","graph 1",NA,"G1","ExpectedInfluence",0.400437614966685,"Males"
"9","graph 1",NA,"G10","Betweenness",-0.307038413551194,"Females"
"10","graph 1",NA,"G10","Betweenness",1.27334154269251,"Males"
"11","graph 1",NA,"G10","Closeness",1.09537340442725,"Females"
"12","graph 1",NA,"G10","Closeness",1.37252392900049,"Males"
"13","graph 1",NA,"G10","Strength",-0.0175139852123123,"Males"
"14","graph 1",NA,"G10","Strength",0.0668424353788339,"Females"
"15","graph 1",NA,"G10","ExpectedInfluence",-0.248716182347339,"Females"
"16","graph 1",NA,"G10","ExpectedInfluence",-0.158774193218492,"Males"
"17","graph 1",NA,"G11","Betweenness",-0.409052723559253,"Males"
"18","graph 1",NA,"G11","Betweenness",2.23225224987219,"Females"
"19","graph 1",NA,"G11","Closeness",1.02103302997686,"Males"
"20","graph 1",NA,"G11","Closeness",1.77580601089551,"Females"
"21","graph 1",NA,"G11","Strength",1.44144975141426,"Females"
"22","graph 1",NA,"G11","Strength",1.88702386554594,"Males"
"23","graph 1",NA,"G11","ExpectedInfluence",1.46148130733482,"Females"
"24","graph 1",NA,"G11","ExpectedInfluence",1.8639325307193,"Males"
"25","graph 1",NA,"G2","Betweenness",-0.633371959059489,"Males"
"26","graph 1",NA,"G2","Betweenness",-0.236502561789433,"Females"
"27","graph 1",NA,"G2","Closeness",0.0831554626374563,"Females"
"28","graph 1",NA,"G2","Closeness",0.570427915056393,"Males"
"29","graph 1",NA,"G2","Strength",0.876857186442859,"Females"
"30","graph 1",NA,"G2","Strength",1.00847617781722,"Males"
"31","graph 1",NA,"G2","ExpectedInfluence",0.905469546139733,"Females"
"32","graph 1",NA,"G2","ExpectedInfluence",1.01473432558718,"Males"
"33","graph 1",NA,"G3","Betweenness",-0.730253524121758,"Females"
"34","graph 1",NA,"G3","Betweenness",-0.296893105809135,"Males"
"35","graph 1",NA,"G3","Closeness",0.295628833739205,"Males"
"36","graph 1",NA,"G3","Closeness",0.38527967385422,"Females"
"37","graph 1",NA,"G3","Strength",0.0235412373624774,"Females"
"38","graph 1",NA,"G3","Strength",0.534388163151719,"Males"
"39","graph 1",NA,"G3","ExpectedInfluence",0.0651224832483276,"Females"
"40","graph 1",NA,"G3","ExpectedInfluence",0.556484082883322,"Males"
"41","graph 1",NA,"G4","Betweenness",-0.521212341309371,"Males"
"42","graph 1",NA,"G4","Betweenness",-0.165966710027672,"Females"
"43","graph 1",NA,"G4","Closeness",0.296094597453331,"Males"
"44","graph 1",NA,"G4","Closeness",0.513987154157095,"Females"
"45","graph 1",NA,"G4","Strength",-0.218934729241194,"Males"
"46","graph 1",NA,"G4","Strength",1.38854933483675,"Females"
"47","graph 1",NA,"G4","ExpectedInfluence",-0.17167268884395,"Males"
"48","graph 1",NA,"G4","ExpectedInfluence",1.40938488309179,"Females"
"49","graph 1",NA,"G5","Betweenness",-0.969850812309843,"Males"
"50","graph 1",NA,"G5","Betweenness",-0.800789375883519,"Females"
"51","graph 1",NA,"G5","Closeness",-0.540417428856447,"Males"
"52","graph 1",NA,"G5","Closeness",0.38405349889922,"Females"
"53","graph 1",NA,"G5","Strength",-0.79409786324711,"Females"
"54","graph 1",NA,"G5","Strength",-0.409147937730453,"Males"
"55","graph 1",NA,"G5","ExpectedInfluence",-0.740089955875687,"Females"
"56","graph 1",NA,"G5","ExpectedInfluence",-0.355531479320193,"Males"
"57","graph 1",NA,"G6","Betweenness",-0.633371959059489,"Males"
"58","graph 1",NA,"G6","Betweenness",0.0456408452576099,"Females"
"59","graph 1",NA,"G6","Closeness",0.627886651504116,"Females"
"60","graph 1",NA,"G6","Closeness",0.873842011772845,"Males"
"61","graph 1",NA,"G6","Strength",0.71898135478605,"Males"
"62","graph 1",NA,"G6","Strength",0.86762805290411,"Females"
"63","graph 1",NA,"G6","ExpectedInfluence",0.734910603384151,"Males"
"64","graph 1",NA,"G6","ExpectedInfluence",0.896380679031743,"Females"
"65","graph 1",NA,"G7","Betweenness",-0.941861079407041,"Females"
"66","graph 1",NA,"G7","Betweenness",-0.857691194559725,"Males"
"67","graph 1",NA,"G7","Closeness",-0.21079872252334,"Females"
"68","graph 1",NA,"G7","Closeness",0.380210434510518,"Males"
"69","graph 1",NA,"G7","Strength",-0.304352338405961,"Females"
"70","graph 1",NA,"G7","Strength",-0.0401878777661145,"Males"
"71","graph 1",NA,"G7","ExpectedInfluence",-0.257787692794815,"Females"
